company_code,order_number,employee,product,product_category,client,city,sale_date_time,product_cost,discount_amount,amount,total,form_of_payment,date,basket_id
39000,12,Stacy Day,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 04:10:00,3.05,0.0,5.642,20.02,Money,20170331,12no city20170331
39000,21,Olive Stevenson,Special Diesel,Fuel,Customer not informed,No City,2017-03-31 04:13:00,2.51,0.0,125.045,350.0,Debit Card,20170331,21no city20170331
39000,38,Stacy Day,Special Diesel,Fuel,Customer not informed,No City,2017-03-31 04:25:00,2.51,0.0,35.699,99.92,Money,20170331,38no city20170331
39000,39,Olive Stevenson,Lubricant,Lubricant,Customer not informed,No City,2017-03-31 04:26:00,7.409,0.0,1.0,13.0,Money,20170331,39no city20170331
39000,39,Olive Stevenson,Diesel Auto Clean,Fuel,Customer not informed,No City,2017-03-31 04:26:00,2.56,0.0,42.162,120.96,Money,20170331,39no city20170331
39000,40,Stacy Day,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 04:27:00,3.05,0.0,2.739,9.72,Money,20170331,40no city20170331
39000,46,Olive Stevenson,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 04:32:00,3.05,0.0,34.461,122.3,Credit Card,20170331,46no city20170331
39000,50,Olive Stevenson,Special Diesel,Fuel,Arthur Mason,Froit,2017-03-31 04:35:00,2.51,0.0,17.864,50.0,Money,20170331,50froit20170331
39000,51,Olive Stevenson,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 04:37:00,3.05,0.0,8.454,30.0,Credit Card,20170331,51no city20170331
39000,52,Stacy Day,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 04:39:00,3.05,0.0,35.089,124.53,Credit Card,20170331,52no city20170331
39000,55,Olive Stevenson,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 04:44:00,3.05,0.0,5.636,20.0,Money,20170331,55no city20170331
39000,59,Stacy Day,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 04:48:00,3.05,0.0,2.821,10.01,Money,20170331,59no city20170331
39000,62,Stacy Day,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 04:58:00,3.05,0.0,23.111,82.02,Debit Card,20170331,62no city20170331
39000,74,Curtis Newman,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 05:18:00,3.05,0.0,1.9809999999999999,7.03,Money,20170331,74no city20170331
39000,77,Brandon Martin,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 05:19:00,3.05,0.0,5.636,20.0,Money,20170331,77no city20170331
39000,78,Curtis Newman,Special Diesel,Fuel,Customer not informed,No City,2017-03-31 05:21:00,2.51,0.0,71.455,200.0,Pre-paid check / Pre- date check,20170331,78no city20170331
39000,81,Curtis Newman,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 05:24:00,3.05,0.0,14.089,50.0,Credit Card,20170331,81no city20170331
39000,87,Brandon Martin,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 05:43:00,3.05,0.0,11.270999999999999,40.0,Money,20170331,87no city20170331
39000,88,Curtis Newman,Special Diesel,Fuel,Laverne Logan,Agririe,2017-03-31 05:45:00,2.51,0.0,70.729,197.97,Debit Card,20170331,88agririe20170331
39000,88,Curtis Newman,Lubricant,Lubricant,Laverne Logan,Agririe,2017-03-31 05:45:00,6.7379999999999995,0.0,1.0,11.0,Debit Card,20170331,88agririe20170331
39000,93,Curtis Newman,Special Diesel,Fuel,Customer not informed,No City,2017-03-31 05:48:00,2.51,0.0,17.864,50.0,Money,20170331,93no city20170331
39000,93,Curtis Newman,Special Diesel,Fuel,Customer not informed,No City,2017-03-31 05:48:00,2.51,0.0,32.155,90.0,Money,20170331,93no city20170331
39000,96,Curtis Newman,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 05:52:00,3.05,0.0,27.89,98.98,Money,20170331,96no city20170331
39000,98,Brandon Martin,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 05:56:00,3.05,0.0,28.177,100.0,Money,20170331,98no city20170331
39000,100,Brandon Martin,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 06:00:00,3.05,0.0,1.409,5.0,Money,20170331,100no city20170331
39000,102,Curtis Newman,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 06:01:00,3.05,0.0,5.642,20.02,Money,20170331,102no city20170331
39000,106,Donna Bailey,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 06:10:00,3.05,0.0,6.199,22.0,Money,20170331,106no city20170331
39000,110,Terri Tran,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 06:16:00,3.05,0.0,7.045,25.0,Money,20170331,110no city20170331
39000,111,Brandon Martin,Diesel Auto Clean,Fuel,Customer not informed,No City,2017-03-31 06:17:00,2.56,0.0,59.262,170.02,Debit Card,20170331,111no city20170331
39000,112,Donna Bailey,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 06:20:00,3.05,0.0,42.272,150.02,Debit Card,20170331,112no city20170331
39000,113,Curtis Newman,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 06:21:00,3.05,0.0,11.975999999999999,42.5,Money,20170331,113no city20170331
39000,113,Curtis Newman,Lubricant,Lubricant,Customer not informed,No City,2017-03-31 06:21:00,4.061,0.0,1.0,7.5,Money,20170331,113no city20170331
39000,114,Terri Tran,Special Gasoline,Fuel,Customer not informed,No City,2017-03-31 06:22:00,3.05,0.0,2.818,10.0,Money,20170331,114no city20170331
